frame_index,timestamp,request_id,source_node,target_node,area_id,upload_type,planned_bytes,rlc_tx_count,rlc_rx_count,rlc_drop_count,phy_schedule_count,pscch_ok_count,pscch_fail_count,pssch_ok_count,pssch_fail_count,harq_ack_count,harq_nack_count,harq_timeout_count,cam_received,terminal_state,slot_index,stage,scheduled_delay_ms,sc_start,sc_num
2,000064,127,8,21,15_3,leader_to_rsu,2000,7,7,0,0,0,0,7,0,0,0,0,1,application_received,3,leader_to_rsu,40.000000,9,1
2,000064,128,8,21,15_4,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,0,1
2,000064,129,4,21,15_6,leader_to_rsu,2000,6,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx,4,leader_to_rsu,50.000000,1,1
2,000064,130,4,21,15_8,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,0,rlc_rx_only,4,leader_to_rsu,50.000000,2,1
2,000064,131,7,21,15_9,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,3,1
2,000064,132,4,21,16_5,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,4,1
2,000064,133,12,21,16_7,leader_to_rsu,2000,6,4,0,0,0,0,4,0,0,0,0,0,rlc_rx_only,4,leader_to_rsu,50.000000,5,1
2,000064,134,12,21,16_8,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,6,1
2,000064,135,12,21,17_5,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,7,1
2,000064,136,12,21,17_7,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,8,1
2,000064,137,4,21,18_7,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,9,1
