scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000078,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,10;13;14;19,13;9,9,"{""9"": 39}","{""9"": 3769, ""13"": 4778}",60304,3.353948832035595,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9,4,25,
2026_07_15_01_26_56,000078,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 54}","{""6"": 4513, ""15"": 4753}",72208,4.016017797552837,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,13,19,
2026_07_15_01_26_56,000078,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,5;7;16;20,16;5,5,"{""5"": 39}","{""5"": 4502, ""16"": 4880}",72032,4.00622914349277,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,5,7,26,
2026_07_15_01_26_56,000078,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,3;17;18,17;18,18,"{""18"": 55}","{""17"": 4995, ""18"": 4993}",79888,4.4431590656284765,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18,3,11,
2026_07_15_01_26_56,000080,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,1;2;8;11,1;8,8,"{""8"": 39}","{""1"": 4933, ""8"": 4386}",70176,3.9030033370411568,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8,11,31,
2026_07_15_01_26_56,000080,4,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,4;9;12,4;12,12,"{""12"": 55}","{""4"": 4847, ""12"": 2836}",45376,2.5236929922135705,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,12,7,36,
2026_07_15_01_26_56,000080,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,10;13;14;19,13;9,9,"{""9"": 39}","{""9"": 3764, ""13"": 4772}",60224,3.349499443826474,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9,3,25,
2026_07_15_01_26_56,000080,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 56}","{""6"": 4512, ""15"": 4751}",72192,4.015127919911012,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,11,18,
2026_07_15_01_26_56,000080,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,5;7;16;20,16;5,5,"{""5"": 39}","{""5"": 4508, ""16"": 4897}",72128,4.011568409343715,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,5,4,25,
2026_07_15_01_26_56,000080,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,3;17;18,17,,{},"{""17"": 4990}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,3,11,
2026_07_15_01_26_56,000082,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,1;2;8;11,1;8,8,"{""8"": 39}","{""1"": 4932, ""8"": 4386}",70176,3.9030033370411568,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8,9,31,
2026_07_15_01_26_56,000082,12,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,4;7;12,12;7,7,"{""7"": 58}","{""7"": 4888, ""12"": 4915}",78208,4.349721913236929,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,7,12,33,
2026_07_15_01_26_56,000082,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,10;13;14;19,13;9,9,"{""9"": 39}","{""9"": 3770, ""13"": 4801}",60320,3.3548387096774195,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9,4,25,
2026_07_15_01_26_56,000082,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 56}","{""6"": 4527, ""15"": 4758}",72432,4.028476084538376,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,13,18,
2026_07_15_01_26_56,000082,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,3;16;17;18,17;3,3,"{""3"": 58}","{""3"": 4017, ""17"": 4970}",64272,3.574638487208009,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,3,4,17,
