timestamp,sample_seed,agent_count,area_count,group_count,delta_g,total_group_load,greedy_max_load,optimal_max_load,absolute_gap,relative_gap,greedy_loads,optimal_loads,greedy_assignments,optimal_assignments
000062,37,5,3,3,0.050000,3,3,3,0.000000,0.000000,-1:3;13:0;20:0;7:0;9:0,-1:3;13:0;20:0;7:0;9:0,11_10:-1;11_9:-1;13_5:-1,11_10:-1;11_9:-1;13_5:-1
000062,37,5,3,3,0.075000,3,3,3,0.000000,0.000000,-1:3;13:0;20:0;7:0;9:0,-1:3;13:0;20:0;7:0;9:0,11_10:-1;11_9:-1;13_5:-1,11_10:-1;11_9:-1;13_5:-1
000062,37,5,3,3,0.100000,3,3,3,0.000000,0.000000,-1:3;13:0;20:0;7:0;9:0,-1:3;13:0;20:0;7:0;9:0,11_10:-1;11_9:-1;13_5:-1,11_10:-1;11_9:-1;13_5:-1
000062,37,5,3,3,0.125000,3,3,3,0.000000,0.000000,-1:3;13:0;20:0;7:0;9:0,-1:3;13:0;20:0;7:0;9:0,11_10:-1;11_9:-1;13_5:-1,11_10:-1;11_9:-1;13_5:-1
000064,7,5,3,3,0.050000,3,2,2,0.000000,0.000000,13:1;16:0;20:2;4:0;9:0,13:1;16:0;20:2;4:0;9:0,11_10:20;13_7:20;9_3:13,11_10:20;13_7:20;9_3:13
000064,7,5,3,3,0.075000,3,2,2,0.000000,0.000000,13:1;16:0;20:2;4:0;9:0,13:1;16:0;20:2;4:0;9:0,11_10:20;13_7:20;9_3:13,11_10:20;13_7:20;9_3:13
000064,7,5,3,3,0.100000,3,2,2,0.000000,0.000000,13:1;16:0;20:2;4:0;9:0,13:1;16:0;20:2;4:0;9:0,11_10:20;13_7:20;9_3:13,11_10:20;13_7:20;9_3:13
000064,7,5,3,3,0.125000,3,2,2,0.000000,0.000000,13:1;16:0;20:2;4:0;9:0,13:1;16:0;20:2;4:0;9:0,11_10:20;13_7:20;9_3:13,11_10:20;13_7:20;9_3:13
000064,11,5,3,3,0.050000,4,4,2,2.000000,1.000000,-1:4;12:0;16:0;4:0;7:0,-1:2;12:0;16:2;4:0;7:0,11_0:-1;13_5:-1;9_3:-1,11_0:-1;13_5:-1;9_3:16
000064,11,5,3,3,0.075000,3,3,3,0.000000,0.000000,-1:3;12:0;16:0;4:0;7:0,-1:3;12:0;16:0;4:0;7:0,11_0:-1;13_5:-1;9_3:-1,11_0:-1;13_5:-1;9_3:-1
000064,11,5,3,3,0.100000,3,3,3,0.000000,0.000000,-1:3;12:0;16:0;4:0;7:0,-1:3;12:0;16:0;4:0;7:0,11_0:-1;13_5:-1;9_3:-1,11_0:-1;13_5:-1;9_3:-1
000064,11,5,3,3,0.125000,3,3,3,0.000000,0.000000,-1:3;12:0;16:0;4:0;7:0,-1:3;12:0;16:0;4:0;7:0,11_0:-1;13_5:-1;9_3:-1,11_0:-1;13_5:-1;9_3:-1
000064,23,5,3,3,0.050000,6,4,4,0.000000,0.000000,10:4;12:0;13:1;20:1;9:0,10:4;12:0;13:1;20:1;9:0,11_0:10;11_9:20;9_3:13,11_0:10;11_9:20;9_3:13
