timestamp,area_id,source_id,target_id,upload_type,bytes,original_bytes,byte_source,raw_point_count,slice_point_count,slice_ratio
000070,15_3,8,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,14_11,7,16,member_to_leader,2128,10000,raw_lidar_slice,5176,133,0.025696
000070,14_11,16,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,16_7,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,14_9,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,12_11,16,20,member_to_leader,12224,10000,raw_lidar_slice,5252,764,0.145468
000070,12_11,20,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,15_6,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,12_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,11_5,9,10,member_to_leader,3072,10000,raw_lidar_slice,5102,192,0.037632
000070,11_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,13_9,7,20,member_to_leader,1952,10000,raw_lidar_slice,5176,122,0.023570
000070,13_9,20,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,16_8,4,12,member_to_leader,2512,10000,raw_lidar_slice,5145,157,0.030515
000070,16_8,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,15_2,8,1,member_to_leader,2992,10000,raw_lidar_slice,5127,187,0.036474
000070,15_2,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,15_9,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,11_8,9,19,member_to_leader,6320,10000,raw_lidar_slice,5102,395,0.077421
000070,11_8,19,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,17_7,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,12_3,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,11_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,12_7,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,15_8,7,4,member_to_leader,2544,10000,raw_lidar_slice,5176,159,0.030719
000070,15_8,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,12_9,20,5,member_to_leader,13184,10000,raw_lidar_slice,5179,824,0.159104
000072,12_9,5,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,13_2,2,11,member_to_leader,2512,10000,raw_lidar_slice,5067,157,0.030985
000072,13_2,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,13_0,2,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,14_1,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,11_7,10,9,member_to_leader,2992,10000,raw_lidar_slice,5101,187,0.036659
000072,11_7,9,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,13_3,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,14_3,1,8,member_to_leader,2816,10000,raw_lidar_slice,5123,176,0.034355
000072,14_3,8,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,15_4,8,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,14_10,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,12_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,17_5,4,12,member_to_leader,928,10000,raw_lidar_slice,5154,58,0.011253
000072,17_5,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,15_3,8,1,member_to_leader,4112,10000,raw_lidar_slice,5126,257,0.050137
000072,15_3,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,14_11,7,16,member_to_leader,2048,10000,raw_lidar_slice,5166,128,0.024777
000072,14_11,16,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,16_7,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,14_9,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,12_11,16,20,member_to_leader,12000,10000,raw_lidar_slice,5236,750,0.143239
000072,12_11,20,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,15_6,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,12_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,11_5,9,10,member_to_leader,3040,10000,raw_lidar_slice,5102,190,0.037240
000072,11_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,16_8,12,4,member_to_leader,8400,10000,raw_lidar_slice,5227,525,0.100440
000072,16_8,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,15_2,8,1,member_to_leader,2992,10000,raw_lidar_slice,5126,187,0.036481
000072,15_2,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,17_7,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,11_8,9,19,member_to_leader,6320,10000,raw_lidar_slice,5102,395,0.077421
000072,11_8,19,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,12_3,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,11_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,12_7,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,15_8,4,7,member_to_leader,2320,10000,raw_lidar_slice,5154,145,0.028133
000072,15_8,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,16_4,12,4,member_to_leader,1952,10000,raw_lidar_slice,5227,122,0.023340
000072,16_4,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,18_7,4,12,member_to_leader,240,10000,raw_lidar_slice,5154,15,0.002910
000072,18_7,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000072,13_9,7,20,member_to_leader,1792,10000,raw_lidar_slice,5166,112,0.021680
000072,13_9,20,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,13_2,2,11,member_to_leader,2672,10000,raw_lidar_slice,5070,167,0.032939
000074,13_2,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,12_9,20,5,member_to_leader,13184,10000,raw_lidar_slice,5179,824,0.159104
000074,12_9,5,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,13_0,2,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,14_1,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,11_7,10,9,member_to_leader,3152,10000,raw_lidar_slice,5112,197,0.038537
000074,11_7,9,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,14_10,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,13_3,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,12_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,14_3,1,8,member_to_leader,2816,10000,raw_lidar_slice,5124,176,0.034348
000074,14_3,8,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,15_4,8,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,17_5,4,12,member_to_leader,976,10000,raw_lidar_slice,5164,61,0.011813
000074,17_5,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,15_3,8,1,member_to_leader,4112,10000,raw_lidar_slice,5125,257,0.050146
000074,15_3,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,15_8,7,4,member_to_leader,2928,10000,raw_lidar_slice,5172,183,0.035383
000074,15_8,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,16_7,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,14_9,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,12_11,20,16,member_to_leader,2512,10000,raw_lidar_slice,5179,157,0.030315
000074,12_11,16,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,15_6,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,12_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,11_5,9,10,member_to_leader,3072,10000,raw_lidar_slice,5101,192,0.037640
000074,11_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000074,13_9,7,20,member_to_leader,1744,10000,raw_lidar_slice,5172,109,0.021075
000074,13_9,20,RSU,leader_to_rsu,2000,2000,fixed_original,,,
