line_no,frame_index,event,rnti,lcid,source_node,target_node,request_id,sn,fi,size,harq_id,bwp_id,layer,vr_ur,vr_uh,timestamp,area_id,upload_type,plan_index,pkt_id,matched
3902,3,TX,4,5,4,1,147,7,0,2083,7,0,0,,,000066,,leader_to_rsu,147,147,1
3903,3,TX,13,5,13,1,142,2,0,2083,4,0,0,,,000066,,leader_to_rsu,142,142,1
4018,3,TX,21,5,21,12,173,6,1,4069,12,0,0,,,000066,,member_to_leader,173,173,1
4019,3,TX,2,5,2,20,157,2,0,1603,8,0,0,,,000066,,member_to_leader,157,157,1
4020,3,TX,3,5,3,1,148,8,0,2083,12,0,0,,,000066,,leader_to_rsu,148,148,1
4021,3,TX,13,5,13,4,140,2,0,2323,5,0,0,,,000066,,member_to_leader,140,140,1
4113,3,TX,21,5,21,12,173,7,3,2334,13,0,0,,,000066,,member_to_leader,173,173,1
4114,3,TX,19,5,19,1,150,8,0,2083,12,0,0,,,000066,,leader_to_rsu,150,150,1
4115,3,TX,17,5,17,1,139,2,0,2083,2,0,0,,,000066,,leader_to_rsu,139,139,1
4210,3,TX,16,5,16,5,153,2,0,3926,10,0,0,,,000066,,member_to_leader,153,153,1
4211,3,TX,2,5,2,1,172,8,0,2083,11,0,0,,,000066,,leader_to_rsu,172,172,1
4323,3,TX,20,5,20,1,158,5,0,2083,12,0,0,,,000066,,leader_to_rsu,158,158,1
4402,3,TX,14,5,14,17,138,12,3,4069,2,0,0,,,000066,,member_to_leader,138,138,1
4403,3,TX,16,5,16,1,164,9,0,2083,12,0,0,,,000066,,leader_to_rsu,164,164,1
4465,3,TX,19,5,19,1,160,9,0,2083,14,0,0,,,000066,,leader_to_rsu,160,160,1
4486,3,RX,1,5,2,1,172,8,0,2083,,,,,,000066,,leader_to_rsu,172,172,1
4489,3,TX,16,5,16,1,180,10,0,2083,13,0,0,,,000066,,leader_to_rsu,180,180,1
4490,3,TX,3,5,3,1,163,9,0,2083,13,0,0,,,000066,,leader_to_rsu,163,163,1
4567,3,RX,1,5,20,1,158,5,0,2083,,,,,,000066,,leader_to_rsu,158,158,1
4575,3,TX,3,5,3,1,166,10,0,2083,14,0,0,,,000066,,leader_to_rsu,166,166,1
4576,3,TX,4,5,4,1,177,8,0,2083,8,0,0,,,000066,,leader_to_rsu,177,177,1
